FIPS,county_name,wtd_den,pop_den,population
49021,"Iron County, Utah",1991,14,47751
17163,"St. Clair County, Illinois",1989,404,265569
18083,"Knox County, Indiana",1985,74,37956
55133,"Waukesha County, Wisconsin",1984,719,395377
51003,"Albemarle County, Virginia",1983,145,104287
18017,"Cass County, Indiana",1970,93,38324
18057,"Hamilton County, Indiana",1970,769,303042
29031,"Cape Girardeau County, Missouri",1969,135,78089
51041,"Chesterfield County, Virginia",1965,784,331839
13031,"Bulloch County, Georgia",1965,109,73141
37067,"Forsyth County, North Carolina",1964,894,364691
31157,"Scotts Bluff County, Nebraska",1962,49,36599
24017,"Charles County, Maryland",1962,337,154357
17077,"Jackson County, Illinois",1957,101,59188
9013,"Tolland County, Connecticut",1957,370,151689
48183,"Gregg County, Texas",1957,451,123283
48179,"Gray County, Texas",1951,25,23028
20155,"Reno County, Kansas",1949,51,63803
48209,"Hays County, Texas",1947,274,185686
26145,"Saginaw County, Michigan",1945,244,195201
36011,"Cayuga County, New York",1941,114,78783
72009,"Aibonito Municipio, Puerto Rico",1938,780,24438
27139,"Scott County, Minnesota",1936,392,139490
26103,"Marquette County, Michigan",1933,37,67418
24045,"Wicomico County, Maryland",1927,271,101527
39173,"Wood County, Ohio",1926,210,129418
42007,"Beaver County, Pennsylvania",1926,389,169205
34041,"Warren County, New Jersey",1923,300,107095
40047,"Garfield County, Oklahoma",1918,59,62481
18019,"Clark County, Indiana",1918,306,113993
30017,"Custer County, Montana",1915,3,11980
40039,"Custer County, Oklahoma",1915,30,29248
8075,"Logan County, Colorado",1912,12,21862
29165,"Platte County, Missouri",1911,226,94970
72085,"Las Piedras Municipio, Puerto Rico",1911,1135,38466
19127,"Marshall County, Iowa",1909,71,40735
31111,"Lincoln County, Nebraska",1907,14,35777
39003,"Allen County, Ohio",1899,260,104664
72147,"Vieques Municipio, Puerto Rico",1897,178,9046
18039,"Elkhart County, Indiana",1896,435,201640
48397,"Rockwall County, Texas",1893,692,88010
18067,"Howard County, Indiana",1888,282,82728
31119,"Madison County, Nebraska",1885,61,35125
53037,"Kittitas County, Washington",1883,19,42785
72149,"Villalba Municipio, Puerto Rico",1875,679,24186
18023,"Clinton County, Indiana",1874,81,32692
35015,"Eddy County, New Mexico",1874,13,56369
9011,"New London County, Connecticut",1868,409,272033
47065,"Hamilton County, Tennessee",1866,648,351305
38105,"Williams County, North Dakota",1858,15,31643
17017,"Cass County, Illinois",1851,35,13068
13021,"Bibb County, Georgia",1847,618,154194
25003,"Berkshire County, Massachusetts",1847,139,128563
72101,"Morovis Municipio, Puerto Rico",1845,825,32087
72103,"Naguabo Municipio, Puerto Rico",1841,517,26722
17095,"Knox County, Illinois",1837,72,51752
18127,"Porter County, Indiana",1836,399,167016
51690,"Martinsville city, Virginia",1833,1237,13551
54039,"Kanawha County, West Virginia",1831,210,189636
45045,"Greenville County, South Carolina",1828,614,482191
51161,"Roanoke County, Virginia",1824,374,93655
39109,"Miami County, Ohio",1820,255,103864
72027,"Camuy Municipio, Puerto Rico",1818,722,33481
36077,"Otsego County, New York",1817,61,60979
51179,"Stafford County, Virginia",1810,519,139548
16055,"Kootenai County, Idaho",1810,119,147716
19049,"Dallas County, Iowa",1805,133,78074
12105,"Polk County, Florida",1805,355,637691
20061,"Geary County, Kansas",1804,96,36818
1097,"Mobile County, Alabama",1801,337,414291
41017,"Deschutes County, Oregon",1801,57,170813
22101,"St. Mary Parish, Louisiana",1801,95,53053
30049,"Lewis and Clark County, Montana",1799,19,65989
12019,"Clay County, Florida",1795,331,200346
17007,"Boone County, Illinois",1795,191,53656
13185,"Lowndes County, Georgia",1792,230,113898
42129,"Westmoreland County, Pennsylvania",1790,350,359377
46035,"Davison County, South Dakota",1788,46,19824
18177,"Wayne County, Indiana",1787,168,67423
39041,"Delaware County, Ohio",1785,426,188996
38089,"Stark County, North Dakota",1783,22,29837
12005,"Bay County, Florida",1782,235,178361
27131,"Rice County, Minnesota",1780,131,65116
39143,"Sandusky County, Ohio",1780,147,59870
54107,"Wood County, West Virginia",1772,236,86262
51800,"Suffolk city, Virginia",1769,218,87061
12061,"Indian River County, Florida",1757,289,145342
40065,"Jackson County, Oklahoma",1749,32,25864
38093,"Stutsman County, North Dakota",1749,10,21108
6045,"Mendocino County, California",1748,25,87409
2150,"Kodiak Island Borough, Alaska",1744,2,13918
41035,"Klamath County, Oregon",1743,11,65946
42035,"Clinton County, Pennsylvania",1742,45,39536
13153,"Houston County, Georgia",1741,397,149137
38059,"Morton County, North Dakota",1741,15,29633
48475,"Ward County, Texas",1741,14,11396
48115,"Dawson County, Texas",1739,15,13317
48189,"Hale County, Texas",1736,35,35007
48505,"Zapata County, Texas",1730,14,14335
17093,"Kendall County, Illinois",1729,379,121452
40147,"Washington County, Oklahoma",1729,125,51892
24001,"Allegany County, Maryland",1728,172,73060
17179,"Tazewell County, Illinois",1727,209,135400
21209,"Scott County, Kentucky",1725,182,51348
28083,"Leflore County, Mississippi",1724,51,30500
6089,"Shasta County, California",1720,47,179228
8099,"Prowers County, Colorado",1720,7,12121
36057,"Montgomery County, New York",1720,123,49667
17109,"McDonough County, Illinois",1719,54,31727
48339,"Montgomery County, Texas",1717,498,518849
42021,"Cambria County, Pennsylvania",1713,200,137762
46135,"Yankton County, South Dakota",1712,43,22649
39165,"Warren County, Ohio",1710,554,222184
19179,"Wapello County, Iowa",1710,82,35242
13095,"Dougherty County, Georgia",1706,281,92326
12035,"Flagler County, Florida",1699,212,102917
1125,"Tuscaloosa County, Alabama",1694,153,202471
29097,"Jasper County, Missouri",1691,184,117376
17187,"Warren County, Illinois",1691,32,17611
21073,"Franklin County, Kentucky",1690,241,49982
20009,"Barton County, Kansas",1687,30,27214
22073,"Ouachita Parish, Louisiana",1685,256,156398
39147,"Seneca County, Ohio",1684,101,55711
5035,"Crittenden County, Arkansas",1683,81,49511
26075,"Jackson County, Michigan",1682,227,159483
42119,"Union County, Pennsylvania",1681,143,45178
22015,"Bossier Parish, Louisiana",1678,148,124720
55015,"Calumet County, Wisconsin",1676,156,49653
22019,"Calcasieu Parish, Louisiana",1673,185,197233
22045,"Iberia Parish, Louisiana",1672,129,73799
46029,"Codington County, South Dakota",1671,41,27886
21151,"Madison County, Kentucky",1669,200,87324
29147,"Nodaway County, Missouri",1666,26,23026
55071,"Manitowoc County, Wisconsin",1666,136,80178
49053,"Washington County, Utah",1661,63,151959
28047,"Harrison County, Mississippi",1660,346,198570
42085,"Mercer County, Pennsylvania",1658,170,114598
48321,"Matagorda County, Texas",1656,34,36719
2130,"Ketchikan Gateway Borough, Alaska",1654,3,13715
39103,"Medina County, Ohio",1652,417,175543
27147,"Steele County, Minnesota",1651,85,36541
13073,"Columbia County, Georgia",1651,482,139904
39155,"Trumbull County, Ohio",1649,331,204908
39133,"Portage County, Ohio",1649,332,161796
48227,"Howard County, Texas",1648,40,36423
19045,"Clinton County, Iowa",1647,69,47972
42073,"Lawrence County, Pennsylvania",1641,247,88528
19139,"Muscatine County, Iowa",1641,98,42949
21035,"Calloway County, Kentucky",1640,99,38302
72079,"Lajas Municipio, Puerto Rico",1637,406,24323
72054,"Florida Municipio, Puerto Rico",1635,808,12287
12053,"Hernando County, Florida",1635,374,176797
26091,"Lenawee County, Michigan",1634,132,98673
28027,"Coahoma County, Mississippi",1628,45,24804
33017,"Strafford County, New Hampshire",1624,343,125913
17195,"Whiteside County, Illinois",1623,84,57155
16039,"Elmore County, Idaho",1622,8,26103
8065,"Lake County, Colorado",1621,20,7401
42023,"Cameron County, Pennsylvania",1621,12,4807
22089,"St. Charles Parish, Louisiana",1620,190,52708
19187,"Webster County, Iowa",1617,52,37050
46005,"Beadle County, South Dakota",1616,14,18155
34009,"Cape May County, New Jersey",1614,378,95404
26061,"Houghton County, Michigan",1614,36,36565
21049,"Clark County, Kentucky",1610,141,35706
48389,"Reeves County, Texas",1608,5,14438
22035,"East Carroll Parish, Louisiana",1607,18,7419
21019,"Boyd County, Kentucky",1606,305,48716
17137,"Morgan County, Illinois",1605,61,34801
51177,"Spotsylvania County, Virginia",1604,322,129181
39063,"Hancock County, Ohio",1599,142,75672
42125,"Washington County, Pennsylvania",1595,243,208269
12015,"Charlotte County, Florida",1588,249,169642
41065,"Wasco County, Oregon",1587,11,25657
41061,"Union County, Oregon",1587,13,25758
48423,"Smith County, Texas",1586,238,219745
35028,"Los Alamos County, New Mexico",1585,164,17895
26025,"Calhoun County, Michigan",1577,191,134691
72047,"Corozal Municipio, Puerto Rico",1575,833,35484
28035,"Forrest County, Mississippi",1574,164,76274
9007,"Middlesex County, Connecticut",1571,445,164438
42025,"Carbon County, Pennsylvania",1570,169,64330
1089,"Madison County, Alabama",1569,437,349973
17099,"LaSalle County, Illinois",1567,99,111935
55097,"Portage County, Wisconsin",1564,88,70551
29127,"Marion County, Missouri",1564,66,28858
18053,"Grant County, Indiana",1564,165,68269
17107,"Logan County, Illinois",1562,48,29820
48353,"Nolan County, Texas",1562,16,15017
47125,"Montgomery County, Tennessee",1558,352,189709
51735,"Poquoson city, Virginia",1557,784,12068
39089,"Licking County, Ohio",1555,249,169762
51530,"Buena Vista city, Virginia",1550,987,6610
28033,"DeSoto County, Mississippi",1548,359,170890
72131,"San Sebastián Municipio, Puerto Rico",1547,565,39755
8087,"Morgan County, Colorado",1546,22,28288
72007,"Aguas Buenas Municipio, Puerto Rico",1545,908,27323
39033,"Crawford County, Ohio",1543,106,42485
49003,"Box Elder County, Utah",1541,9,51528
12119,"Sumter County, Florida",1540,207,113589
18095,"Madison County, Indiana",1538,287,129862
37189,"Watauga County, North Carolina",1537,169,52745
18041,"Fayette County, Indiana",1531,110,23608
27009,"Benton County, Minnesota",1530,97,39457
72105,"Naranjito Municipio, Puerto Rico",1526,1075,29467
26147,"St. Clair County, Michigan",1525,222,160069
36091,"Saratoga County, New York",1525,278,224929
18069,"Huntington County, Indiana",1523,96,36696
41033,"Josephine County, Oregon",1515,51,84063
1081,"Lee County, Alabama",1515,253,153947
22103,"St. Tammany Parish, Louisiana",1514,291,246269
6017,"El Dorado County, California",1510,107,183000
20181,"Sherman County, Kansas",1510,6,6038
55027,"Dodge County, Wisconsin",1509,101,88404
36113,"Warren County, New York",1506,75,64911
48165,"Gaines County, Texas",1505,13,19485
8081,"Moffat County, Colorado",1505,3,13034
55089,"Ozaukee County, Wisconsin",1503,376,87625
28151,"Washington County, Mississippi",1499,67,48824
56033,"Sheridan County, Wyoming",1497,12,29924
26095,"Luce County, Michigan",1493,7,6451
72117,"Rincón Municipio, Puerto Rico",1493,1029,14700
2090,"Fairbanks North Star Borough, Alaska",1493,14,100150
22065,"Madison Parish, Louisiana",1490,19,11803
20035,"Cowley County, Kansas",1486,32,35977
18005,"Bartholomew County, Indiana",1486,197,80203
27103,"Nicollet County, Minnesota",1484,74,33226
20005,"Atchison County, Kansas",1482,38,16557
48427,"Starr County, Texas",1476,52,63008
31013,"Box Butte County, Nebraska",1475,10,11279
36043,"Herkimer County, New York",1474,45,63558
27047,"Freeborn County, Minnesota",1472,43,30751
54029,"Hancock County, West Virginia",1471,363,30024
21113,"Jessamine County, Kentucky",1471,296,51015
5045,"Faulkner County, Arkansas",1471,186,120417
4015,"Mohave County, Arizona",1470,15,203629
19033,"Cerro Gordo County, Iowa",1468,76,43303
30041,"Hill County, Montana",1463,6,16529
47187,"Williamson County, Tennessee",1460,353,205645
35041,"Roosevelt County, New Mexico",1459,8,19618
35035,"Otero County, New Mexico",1459,10,65333
34033,"Salem County, New Jersey",1451,194,64504
39139,"Richland County, Ohio",1451,246,121888
39025,"Clermont County, Ohio",1449,445,201092
48057,"Calhoun County, Texas",1447,43,21805
39081,"Jefferson County, Ohio",1446,166,67607
21101,"Henderson County, Kentucky",1445,106,46362
23031,"York County, Maine",1444,202,200536
47113,"Madison County, Tennessee",1442,176,98128
26111,"Midland County, Michigan",1441,162,83559
40071,"Kay County, Oklahoma",1441,49,45398
13247,"Rockdale County, Georgia",1438,675,87569
48143,"Erath County, Texas",1438,38,40641
15001,"Hawaii County, Hawaii",1438,48,193680
18063,"Hendricks County, Indiana",1435,383,155817
46083,"Lincoln County, South Dakota",1434,89,51396
37025,"Cabarrus County, North Carolina",1433,532,192296
6015,"Del Norte County, California",1433,27,27628
6035,"Lassen County, California",1431,7,31945
27015,"Brown County, Minnesota",1429,41,25327
41059,"Umatilla County, Oregon",1429,24,76582
13179,"Liberty County, Georgia",1426,124,63949
31145,"Red Willow County, Nebraska",1425,15,10884
9015,"Windham County, Connecticut",1423,228,117078
30067,"Park County, Montana",1423,6,15843
48249,"Jim Wells County, Texas",1421,48,41486
48251,"Johnson County, Texas",1419,217,157544
18173,"Warrick County, Indiana",1415,160,61427
29159,"Pettis County, Missouri",1410,62,42193
13117,"Forsyth County, Georgia",1409,910,203841
54051,"Marshall County, West Virginia",1402,106,32296
55073,"Marathon County, Wisconsin",1402,88,135367
12109,"St. Johns County, Florida",1401,364,218362
55093,"Pierce County, Wisconsin",1397,71,40881
36111,"Ulster County, New York",1396,161,180505
51620,"Franklin city, Virginia",1396,1023,8413
4009,"Graham County, Arizona",1390,8,37529
16087,"Washington County, Idaho",1387,7,10035
20037,"Crawford County, Kansas",1387,67,39281
46019,"Butte County, South Dakota",1386,5,10268
48489,"Willacy County, Texas",1386,37,21944
13057,"Cherokee County, Georgia",1386,548,230629
39145,"Scioto County, Ohio",1384,127,77366
5031,"Craighead County, Arkansas",1383,145,102884
36045,"Jefferson County, New York",1381,93,117966
26021,"Berrien County, Michigan",1379,273,155134
26045,"Eaton County, Michigan",1375,189,108544
72141,"Utuado Municipio, Puerto Rico",1375,272,30869
48253,"Jones County, Texas",1368,21,19944
2180,"Nome Census Area, Alaska",1367,0,9879
28059,"Jackson County, Mississippi",1364,195,140850
13127,"Glynn County, Georgia",1364,197,82623
39087,"Lawrence County, Ohio",1362,136,61503
38003,"Barnes County, North Dakota",1359,7,11033
26115,"Monroe County, Michigan",1357,273,149945
19111,"Lee County, Iowa",1352,68,35172
41011,"Coos County, Oregon",1350,39,62944
45091,"York County, South Carolina",1349,361,245606
39005,"Ashland County, Ohio",1347,126,53343
20103,"Leavenworth County, Kansas",1347,170,78785
31137,"Phelps County, Nebraska",1346,17,9236
54033,"Harrison County, West Virginia",1343,165,68775
56043,"Washakie County, Wyoming",1343,4,8351
36037,"Genesee County, New York",1341,120,59053
2195,"Petersburg Borough, Alaska",1340,1,3196
18145,"Shelby County, Indiana",1339,108,44404
4003,"Cochise County, Arizona",1338,21,128177
54049,"Marion County, West Virginia",1333,184,56716
25019,"Nantucket County, Massachusetts",1330,232,10694
37001,"Alamance County, North Carolina",1330,369,156372
42019,"Butler County, Pennsylvania",1330,236,185974
27019,"Carver County, Minnesota",1329,274,97143
5007,"Benton County, Arkansas",1326,289,245231
6021,"Glenn County, California",1325,21,27976
5091,"Miller County, Arkansas",1325,70,43666
47179,"Washington County, Tennessee",1324,386,126044
42121,"Venango County, Pennsylvania",1318,79,53460
72109,"Patillas Municipio, Puerto Rico",1318,388,18135
48347,"Nacogdoches County, Texas",1318,69,65556
8037,"Eagle County, Colorado",1317,31,52894
28089,"Madison County, Mississippi",1315,143,101791
2188,"Northwest Arctic Borough, Alaska",1315,0,7723
37195,"Wilson County, North Carolina",1314,222,81617
39141,"Ross County, Ohio",1312,112,77193
53027,"Grays Harbor County, Washington",1311,37,71233
5069,"Jefferson County, Arkansas",1310,83,72385
27067,"Kandiyohi County, Minnesota",1303,53,42510
48463,"Uvalde County, Texas",1300,17,27055
21029,"Bullitt County, Kentucky",1300,262,77727
28071,"Lafayette County, Mississippi",1299,83,52193
8045,"Garfield County, Colorado",1299,20,57495
51183,"Sussex County, Virginia",1298,24,11733
48487,"Wilbarger County, Texas",1294,13,13061
41027,"Hood River County, Oregon",1293,44,22842
10001,"Kent County, Delaware",1290,292,171474
19099,"Jasper County, Iowa",1290,50,36715
55131,"Washington County, Wisconsin",1288,310,133422
17183,"Vermilion County, Illinois",1282,89,79613
39157,"Tuscarawas County, Ohio",1282,163,92579
37071,"Gaston County, North Carolina",1282,595,211753
39013,"Belmont County, Ohio",1276,130,69228
26041,"Delta County, Michigan",1272,31,36570
42087,"Mifflin County, Pennsylvania",1271,113,46585
41019,"Douglas County, Oregon",1271,21,107375
48037,"Bowie County, Texas",1271,106,93483
48335,"Mitchell County, Texas",1269,10,8995
29099,"Jefferson County, Missouri",1264,339,222453
48205,"Hartley County, Texas",1263,4,5966
47165,"Sumner County, Tennessee",1260,326,172786
29037,"Cass County, Missouri",1259,145,101324
72001,"Adjuntas Municipio, Puerto Rico",1259,281,18760
13097,"Douglas County, Georgia",1251,691,138283
18107,"Montgomery County, Indiana",1248,76,38108
18065,"Henry County, Indiana",1245,125,48953
1103,"Morgan County, Alabama",1242,206,119555
44009,"Washington County, Rhode Island",1239,384,126319
54079,"Putnam County, West Virginia",1239,164,56743
31047,"Dawson County, Nebraska",1238,24,23924
55127,"Walworth County, Wisconsin",1238,186,103021
41009,"Columbia County, Oregon",1236,75,49645
17063,"Grundy County, Illinois",1236,120,50338
55033,"Dunn County, Wisconsin",1235,52,44348
37133,"Onslow County, North Carolina",1234,244,185755
16031,"Cassia County, Idaho",1234,9,23441
12069,"Lake County, Florida",1233,338,317586
4025,"Yavapai County, Arizona",1233,27,218586
41007,"Clatsop County, Oregon",1230,45,37660
20113,"McPherson County, Kansas",1228,32,29164
36075,"Oswego County, New York",1228,127,120513
45063,"Lexington County, South Carolina",1228,397,277702
19123,"Mahaska County, Iowa",1223,39,22324
72073,"Jayuya Municipio, Puerto Rico",1223,350,15605
24013,"Carroll County, Maryland",1221,374,167535
51640,"Galax city, Virginia",1219,826,6858
55003,"Ashland County, Wisconsin",1216,15,15936
39119,"Muskingum County, Ohio",1214,129,85991
29051,"Cole County, Missouri",1213,196,76603
23019,"Penobscot County, Maine",1213,45,152978
31067,"Gage County, Nebraska",1209,26,21778
53029,"Island County, Washington",1208,385,80113
19175,"Union County, Iowa",1206,30,12539
12055,"Highlands County, Florida",1206,97,98862
40125,"Pottawatomie County, Oklahoma",1203,91,71551
22079,"Rapides Parish, Louisiana",1202,100,132373
40101,"Muskogee County, Oklahoma",1201,86,69939
55141,"Wood County, Wisconsin",1200,93,73621
45051,"Horry County, South Carolina",1200,265,300418
8089,"Otero County, Colorado",1199,15,18440
48181,"Grayson County, Texas",1197,133,124231
4023,"Santa Cruz County, Arizona",1194,38,46547
37021,"Buncombe County, North Carolina",1191,381,250112
1113,"Russell County, Alabama",1190,91,58636
32005,"Douglas County, Nevada",1189,67,47426
51069,"Frederick County, Virginia",1187,199,82321
48409,"San Patricio County, Texas",1186,96,66706
42123,"Warren County, Pennsylvania",1185,46,40649
72099,"Moca Municipio, Puerto Rico",1185,761,38289
18103,"Miami County, Indiana",1184,97,36093
42055,"Franklin County, Pennsylvania",1182,198,152707
8043,"Fremont County, Colorado",1181,31,46835
53025,"Grant County, Washington",1181,35,92530
39149,"Shelby County, Ohio",1181,120,48949
34037,"Sussex County, New Jersey",1179,279,144694
37139,"Pasquotank County, North Carolina",1178,176,39909
1117,"Shelby County, Alabama",1176,262,205951
1001,"Autauga County, Alabama",1176,93,55049
72081,"Lares Municipio, Puerto Rico",1174,456,28052
47011,"Bradley County, Tennessee",1174,313,102860
20079,"Harvey County, Kansas",1173,64,34814
29195,"Saline County, Missouri",1168,31,23214
42051,"Fayette County, Pennsylvania",1165,170,134229
29187,"St. Francois County, Missouri",1162,147,66230
48349,"Navarro County, Texas",1162,48,48177
2220,"Sitka City and Borough, Alaska",1161,3,8921
36069,"Ontario County, New York",1160,170,109450
12113,"Santa Rosa County, Florida",1154,162,163903
6103,"Tehama County, California",1152,21,63015
53009,"Clallam County, Washington",1152,42,72969
39029,"Columbiana County, Ohio",1151,198,105230
31045,"Dawes County, Nebraska",1151,7,9082
39161,"Van Wert County, Ohio",1150,70,28501
41013,"Crook County, Oregon",1149,7,21334
29161,"Phelps County, Missouri",1148,67,44833
54003,"Berkeley County, West Virginia",1147,343,110173
18027,"Daviess County, Indiana",1146,76,32583
8003,"Alamosa County, Colorado",1146,23,16353
45013,"Beaufort County, South Carolina",1145,304,175316
32007,"Elko County, Nevada",1144,3,52029
13313,"Whitfield County, Georgia",1143,357,103653
48111,"Dallam County, Texas",1142,5,7052
51595,"Emporia city, Virginia",1139,806,5565
20133,"Neosho County, Kansas",1138,29,16358
54103,"Wetzel County, West Virginia",1138,45,15997
17103,"Lee County, Illinois",1137,48,34718
39129,"Pickaway County, Ohio",1136,113,56804
17101,"Lawrence County, Illinois",1136,45,16582
48415,"Scurry County, Texas",1134,19,17314
45047,"Greenwood County, South Carolina",1132,154,69881
39159,"Union County, Ohio",1132,125,53955
9005,"Litchfield County, Connecticut",1131,201,185141
19027,"Carroll County, Iowa",1130,36,20555
29169,"Pulaski County, Missouri",1130,97,53302
42061,"Huntingdon County, Pennsylvania",1128,52,45844
18071,"Jackson County, Indiana",1126,86,43637
42005,"Armstrong County, Pennsylvania",1125,103,67512
29101,"Johnson County, Missouri",1124,65,54229
24019,"Dorchester County, Maryland",1124,60,32451
48127,"Dimmit County, Texas",1122,8,10842
22005,"Ascension Parish, Louisiana",1120,404,117009
37055,"Dare County, North Carolina",1118,92,35187
47063,"Hamblen County, Tennessee",1118,392,63203
13047,"Catoosa County, Georgia",1118,405,65645
27083,"Lyon County, Minnesota",1115,36,25670
28011,"Bolivar County, Mississippi",1114,38,33615
36079,"Putnam County, New York",1114,432,99408
39077,"Huron County, Ohio",1113,119,58704
36089,"St. Lawrence County, New York",1110,42,111529
1077,"Lauderdale County, Alabama",1109,139,92641
48139,"Ellis County, Texas",1108,171,160225
38077,"Richland County, North Dakota",1108,11,16329
40115,"Ottawa County, Oklahoma",1107,68,32022
51580,"Covington city, Virginia",1106,1033,5650
17105,"Livingston County, Illinois",1106,36,37278
17165,"Saline County, Illinois",1105,65,24659
22057,"Lafourche Parish, Louisiana",1105,91,97688
36101,"Steuben County, New York",1104,71,98151
18059,"Hancock County, Indiana",1103,235,71955
18169,"Wabash County, Indiana",1102,78,32177
45041,"Florence County, South Carolina",1100,173,138575
55055,"Jefferson County, Wisconsin",1097,152,84538
33015,"Rockingham County, New Hampshire",1094,432,300365
48101,"Cottle County, Texas",1093,2,1560
51095,"James City County, Virginia",1091,505,71900
26007,"Alpena County, Michigan",1090,51,28929
17021,"Christian County, Illinois",1090,48,33888
47129,"Morgan County, Tennessee",1088,42,21688
13139,"Hall County, Georgia",1088,485,190482
12083,"Marion County, Florida",1086,214,340341
12051,"Hendry County, Florida",1085,33,38376
24047,"Worcester County, Maryland",1085,110,51441
47163,"Sullivan County, Tennessee",1084,379,156644
40019,"Carter County, Oklahoma",1083,59,48530
32019,"Lyon County, Nevada",1081,26,51897
20015,"Butler County, Kansas",1080,46,66264
48369,"Parmer County, Texas",1078,11,9921
51720,"Norton city, Virginia",1077,532,3978
38071,"Ramsey County, North Dakota",1077,10,11578
26155,"Shiawassee County, Michigan",1077,130,68800
30029,"Flathead County, Montana",1076,19,94696
13151,"Henry County, Georgia",1076,672,214171
12027,"DeSoto County, Florida",1072,55,35134
21145,"McCracken County, Kentucky",1072,262,65292
37179,"Union County, North Carolina",1070,344,217614
21093,"Hardin County, Kentucky",1070,173,107573
17185,"Wabash County, Illinois",1069,52,11587
28163,"Yazoo County, Mississippi",1066,30,27719
17159,"Richland County, Illinois",1066,45,16072
33013,"Merrimack County, New Hampshire",1065,158,147715
18133,"Putnam County, Indiana",1064,78,37626
42093,"Montour County, Pennsylvania",1062,141,18404
41037,"Lake County, Oregon",1061,1,7799
1069,"Houston County, Alabama",1061,179,103891
42001,"Adams County, Pennsylvania",1060,196,101759
22075,"Plaquemines Parish, Louisiana",1059,30,23584
48445,"Terry County, Texas",1059,14,12724
28075,"Lauderdale County, Mississippi",1058,113,79233
18021,"Clay County, Indiana",1057,74,26568
21205,"Rowan County, Kentucky",1057,87,24302
13255,"Spalding County, Georgia",1055,327,64006
16053,"Jerome County, Idaho",1055,38,22694
48091,"Comal County, Texas",1050,222,124234
48503,"Young County, Texas",1049,20,18275
48233,"Hutchinson County, Texas",1048,25,21782
72019,"Barranquitas Municipio, Puerto Rico",1048,863,29548
25001,"Barnstable County, Massachusetts",1047,545,214703
27071,"Koochiching County, Minnesota",1046,4,12930
51147,"Prince Edward County, Virginia",1046,66,23077
28121,"Rankin County, Mississippi",1046,191,147930
19125,"Marion County, Iowa",1040,60,33197
17199,"Williamson County, Illinois",1040,160,67336
51085,"Hanover County, Virginia",1040,218,102199
39031,"Coshocton County, Ohio",1040,65,36665
40139,"Texas County, Oklahoma",1039,11,21499
48007,"Aransas County, Texas",1037,98,24729
21021,"Boyle County, Kentucky",1032,164,29650
28105,"Oktibbeha County, Mississippi",1032,108,49424
13113,"Fayette County, Georgia",1027,563,109495
18009,"Blackford County, Indiana",1027,75,12364
8051,"Gunnison County, Colorado",1026,5,15889
48449,"Titus County, Texas",1025,80,32592
39169,"Wayne County, Ohio",1022,209,115747
45077,"Pickens County, South Carolina",1022,243,120722
48363,"Palo Pinto County, Texas",1021,29,27922
45089,"Williamsburg County, South Carolina",1021,35,32816
20099,"Labette County, Kansas",1017,32,20833
16077,"Power County, Idaho",1014,5,7696
19181,"Warren County, Iowa",1014,85,48170
47141,"Putnam County, Tennessee",1013,186,74652
39007,"Ashtabula County, Ohio",1009,141,99175
34019,"Hunterdon County, New Jersey",1007,294,125708
8085,"Montrose County, Colorado",1007,18,40866
39047,"Fayette County, Ohio",1005,71,28719
5051,"Garland County, Arkansas",1004,143,97119
51187,"Warren County, Virginia",1004,182,38807
22061,"Lincoln Parish, Louisiana",1002,101,47480
48477,"Washington County, Texas",1001,57,34544
50021,"Rutland County, Vermont",1001,65,60133
18011,"Boone County, Indiana",1000,146,61884
5115,"Pope County, Arkansas",999,78,63107
22001,"Acadia Parish, Louisiana",999,95,62372
48371,"Pecos County, Texas",998,3,15826
48011,"Armstrong County, Texas",997,2,1913
18109,"Morgan County, Indiana",996,172,69504
48377,"Presidio County, Texas",995,2,7144
21211,"Shelby County, Kentucky",995,118,44967
40123,"Pontotoc County, Oklahoma",995,53,38213
41045,"Malheur County, Oregon",993,3,30474
27091,"Martin County, Minnesota",992,28,20193
27085,"McLeod County, Minnesota",992,73,35926
72039,"Ciales Municipio, Puerto Rico",991,265,17644
53001,"Adams County, Washington",991,10,19100
20029,"Cloud County, Kansas",990,13,9302
25011,"Franklin County, Massachusetts",989,101,70916
41041,"Lincoln County, Oregon",989,48,46685
20195,"Trego County, Kansas",987,3,2927
20125,"Montgomery County, Kansas",987,52,33765
22097,"St. Landry Parish, Louisiana",985,91,83699
26105,"Mason County, Michigan",985,58,28755
18033,"DeKalb County, Indiana",983,117,42489
54009,"Brooke County, West Virginia",982,263,23473
24041,"Talbot County, Maryland",982,140,37668
47001,"Anderson County, Tennessee",982,224,75545
56005,"Campbell County, Wyoming",981,10,48473
30021,"Dawson County, Montana",976,4,9431
42083,"McKean County, Pennsylvania",976,44,42609
32013,"Humboldt County, Nevada",976,2,17091
13009,"Baldwin County, Georgia",975,177,45808
49019,"Grand County, Utah",975,3,9428
18123,"Perry County, Indiana",974,51,19301
6109,"Tuolumne County, California",973,24,53864
29155,"Pemiscot County, Missouri",972,36,17599
48049,"Brown County, Texas",971,40,37935
24037,"St. Mary's County, Maryland",970,310,110675
35045,"San Juan County, New Mexico",969,22,122537
32001,"Churchill County, Nevada",968,5,24148
27161,"Waseca County, Minnesota",968,45,19034
20059,"Franklin County, Kansas",966,45,25663
39037,"Darke County, Ohio",966,87,52185
13217,"Newton County, Georgia",965,382,103901
56029,"Park County, Wyoming",963,4,29083
39011,"Auglaize County, Ohio",963,114,45871
