FIPS,county_name,wtd_den,pop_den,population
31055,"Douglas County, Nebraska",4939,1654,543253
6065,"Riverside County, California",4923,322,2323892
21067,"Fayette County, Kentucky",4913,1098,311529
17043,"DuPage County, Illinois",4905,2841,930514
12099,"Palm Beach County, Florida",4856,710,1398757
6069,"San Benito County, California",4853,42,58051
51081,"Greensville County, Virginia",4845,40,11698
17089,"Kane County, Illinois",4836,1012,526615
6097,"Sonoma County, California",4836,316,497776
6029,"Kern County, California",4830,107,871337
48355,"Nueces County, Texas",4830,424,355667
51153,"Prince William County, Virginia",4765,1319,443630
32031,"Washoe County, Nevada",4759,70,439914
51740,"Portsmouth city, Virginia",4741,2885,96071
51700,"Newport News city, Virginia",4720,2629,181606
72153,"Yauco Municipio, Puerto Rico",4712,569,38519
53075,"Whitman County, Washington",4682,22,47494
13121,"Fulton County, Georgia",4641,1892,996757
48085,"Collin County, Texas",4639,1054,886633
6101,"Sutter County, California",4627,158,95406
72053,"Fajardo Municipio, Puerto Rico",4590,1134,33912
26161,"Washtenaw County, Michigan",4583,507,358082
31109,"Lancaster County, Nebraska",4579,360,301707
15009,"Maui County, Hawaii",4567,140,162456
9003,"Hartford County, Connecticut",4557,1218,895699
39061,"Hamilton County, Ohio",4536,1985,805965
51840,"Winchester city, Virginia",4525,2961,27349
8059,"Jefferson County, Colorado",4514,731,558810
48121,"Denton County, Texas",4491,859,754650
53061,"Snohomish County, Washington",4458,364,758649
32510,"Carson City, Nevada",4452,376,54412
36055,"Monroe County, New York",4450,1140,749236
16065,"Madison County, Idaho",4443,81,38114
42095,"Northampton County, Pennsylvania",4440,813,300520
48041,"Brazos County, Texas",4435,358,209896
51630,"Fredericksburg city, Virginia",4404,2668,27853
12057,"Hillsborough County, Florida",4403,1297,1323059
36109,"Tompkins County, New York",4399,220,104268
72015,"Arroyo Municipio, Puerto Rico",4385,1251,18778
21111,"Jefferson County, Kentucky",4378,1997,759724
41047,"Marion County, Oregon",4363,277,326527
51600,"Fairfax city, Virginia",4326,3785,23620
6025,"Imperial County, California",4325,43,178807
26099,"Macomb County, Michigan",4322,1794,859703
51650,"Hampton city, Virginia",4224,2658,136789
18157,"Tippecanoe County, Indiana",4221,367,183397
24003,"Anne Arundel County, Maryland",4216,1349,559737
36067,"Onondaga County, New York",4200,601,468050
42043,"Dauphin County, Pennsylvania",4198,518,271962
42069,"Lackawanna County, Pennsylvania",4192,464,213006
51678,"Lexington city, Virginia",4181,2817,7036
51107,"Loudoun County, Virginia",4160,703,362435
34001,"Atlantic County, New Jersey",4156,493,274026
13089,"DeKalb County, Georgia",4156,2705,723902
36103,"Suffolk County, New York",4143,1643,1498130
72063,"Gurabo Municipio, Puerto Rico",4122,1685,46990
19169,"Story County, Iowa",4117,166,94834
72091,"Manatí Municipio, Puerto Rico",4098,919,41468
18097,"Marion County, Indiana",4093,2352,932142
72121,"Sabana Grande Municipio, Puerto Rico",4083,661,24013
20161,"Riley County, Kansas",4080,123,75026
72013,"Arecibo Municipio, Puerto Rico",4068,723,91096
39095,"Lucas County, Ohio",4056,1276,434800
8014,"Broomfield County, Colorado",4028,1892,62449
40109,"Oklahoma County, Oklahoma",4018,1079,764698
13059,"Clarke County, Georgia",4012,1024,122037
34029,"Ocean County, New Jersey",4011,932,586166
8041,"El Paso County, Colorado",4006,313,665171
53021,"Franklin County, Washington",3996,71,87810
12087,"Monroe County, Florida",3973,78,77150
55063,"La Crosse County, Wisconsin",3973,260,117538
72037,"Ceiba Municipio, Puerto Rico",3963,432,12538
48303,"Lubbock County, Texas",3951,329,294682
53011,"Clark County, Washington",3928,718,450893
18105,"Monroe County, Indiana",3917,363,143292
29189,"St. Louis County, Missouri",3910,1970,1000560
12095,"Orange County, Florida",3878,1390,1256055
48329,"Midland County, Texas",3876,173,155817
40027,"Cleveland County, Oklahoma",3866,504,271818
72133,"Santa Isabel Municipio, Puerto Rico",3857,668,22732
21037,"Campbell County, Kentucky",3849,604,91456
19103,"Johnson County, Iowa",3847,231,142006
41039,"Lane County, Oregon",3844,79,360273
49057,"Weber County, Utah",3831,419,241328
53053,"Pierce County, Washington",3829,499,832896
19193,"Woodbury County, Iowa",3828,117,102426
42091,"Montgomery County, Pennsylvania",3825,1689,815876
6107,"Tulare County, California",3821,94,455769
72035,"Cayey Municipio, Puerto Rico",3816,887,46071
54061,"Monongalia County, West Virginia",3812,286,102827
4019,"Pima County, Arizona",3803,109,1003338
72145,"Vega Baja Municipio, Puerto Rico",3777,1218,55866
55101,"Racine County, Wisconsin",3745,586,194873
47157,"Shelby County, Tennessee",3733,1227,936990
6047,"Merced County, California",3722,137,265001
47037,"Davidson County, Tennessee",3721,1326,667885
55059,"Kenosha County, Wisconsin",3718,617,167896
38035,"Grand Forks County, North Dakota",3707,49,69793
48135,"Ector County, Texas",3705,171,153177
42079,"Luzerne County, Pennsylvania",3704,358,318917
36071,"Orange County, New York",3700,463,376242
22087,"St. Bernard Parish, Louisiana",3687,117,44091
41003,"Benton County, Oregon",3669,130,87455
17097,"Lake County, Illinois",3664,1584,702890
39009,"Athens County, Ohio",3663,129,65103
4027,"Yuma County, Arizona",3660,37,203292
38017,"Cass County, North Dakota",3645,95,166852
34025,"Monmouth County, New Jersey",3640,1340,627532
6031,"Kings County, California",3638,108,150261
42049,"Erie County, Pennsylvania",3630,349,279133
39113,"Montgomery County, Ohio",3613,1154,532761
20045,"Douglas County, Kansas",3612,255,116352
18089,"Lake County, Indiana",3600,982,489698
25027,"Worcester County, Massachusetts",3589,539,813589
72067,"Hormigueros Municipio, Puerto Rico",3581,1470,16678
20091,"Johnson County, Kansas",3579,1209,572428
29095,"Jackson County, Missouri",3568,1131,683643
49011,"Davis County, Utah",3560,1101,329292
24027,"Howard County, Maryland",3549,1229,308447
48375,"Potter County, Texas",3542,134,121883
53005,"Benton County, Washington",3538,110,187519
72069,"Humacao Municipio, Puerto Rico",3533,1243,55621
42071,"Lancaster County, Pennsylvania",3528,565,533110
26081,"Kent County, Michigan",3516,742,629352
34035,"Somerset County, New Jersey",3514,1099,331686
19153,"Polk County, Iowa",3513,800,459159
72005,"Aguadilla Municipio, Puerto Rico",3498,1557,56893
17113,"McLean County, Illinois",3488,146,173254
48157,"Fort Bend County, Texas",3479,793,683756
20209,"Wyandotte County, Kansas",3466,1067,161777
21117,"Kenton County, Kentucky",3458,1020,163393
17197,"Will County, Illinois",3451,819,685378
8035,"Douglas County, Colorado",3447,374,314238
48061,"Cameron County, Texas",3446,470,418785
72089,"Luquillo Municipio, Puerto Rico",3443,745,19237
33011,"Hillsborough County, New Hampshire",3435,462,404948
46099,"Minnehaha County, South Dakota",3431,225,182014
8069,"Larimer County, Colorado",3415,125,325228
56001,"Albany County, Wyoming",3395,9,37836
48381,"Randall County, Texas",3394,141,128603
72017,"Barceloneta Municipio, Puerto Rico",3382,1321,24699
37119,"Mecklenburg County, North Carolina",3371,1932,1011774
12031,"Duval County, Florida",3370,1181,900890
51087,"Henrico County, Virginia",3362,1377,321921
36007,"Broome County, New York",3350,280,197381
31153,"Sarpy County, Nebraska",3350,722,172460
39153,"Summit County, Ohio",3323,1311,541372
42075,"Lebanon County, Pennsylvania",3321,378,136950
53063,"Spokane County, Washington",3318,275,485859
51770,"Roanoke city, Virginia",3299,2336,99329
26125,"Oakland County, Michigan",3296,1424,1235215
16001,"Ada County, Idaho",3278,405,425798
51550,"Chesapeake city, Virginia",3277,689,233194
12117,"Seminole County, Florida",3275,1431,442905
6079,"San Luis Obispo County, California",3275,84,278680
40143,"Tulsa County, Oklahoma",3255,1104,629823
20173,"Sedgwick County, Kansas",3254,509,508221
6007,"Butte County, California",3253,137,223877
50007,"Chittenden County, Vermont",3247,299,160510
72051,"Dorado Municipio, Puerto Rico",3235,1646,38013
55139,"Winnebago County, Wisconsin",3233,390,169487
12001,"Alachua County, Florida",3232,293,256581
72143,"Vega Alta Municipio, Puerto Rico",3221,1407,39018
72075,"Juana Díaz Municipio, Puerto Rico",3213,807,48658
12081,"Manatee County, Florida",3209,476,353411
48491,"Williamson County, Texas",3196,439,490619
19163,"Scott County, Iowa",3191,374,171116
22033,"East Baton Rouge Parish, Louisiana",3186,978,445337
48167,"Galveston County, Texas",3183,830,314485
72077,"Juncos Municipio, Puerto Rico",3174,1508,39942
72125,"San Germán Municipio, Puerto Rico",3166,616,33546
51670,"Hopewell city, Virginia",3149,2170,22332
36065,"Oneida County, New York",3143,192,232858
44001,"Bristol County, Rhode Island",3133,2037,49228
6061,"Placer County, California",3114,263,370571
13135,"Gwinnett County, Georgia",3107,2031,874242
41005,"Clackamas County, Oregon",3106,211,394967
72055,"Guánica Municipio, Puerto Rico",3104,480,17788
34011,"Cumberland County, New Jersey",3100,322,155744
8123,"Weld County, Colorado",3097,70,278065
27037,"Dakota County, Minnesota",3076,731,411402
17161,"Rock Island County, Illinois",3076,343,146536
29183,"St. Charles County, Missouri",3065,678,379856
39017,"Butler County, Ohio",3060,800,373638
8101,"Pueblo County, Colorado",3059,68,162158
48471,"Walker County, Texas",3049,89,69926
72123,"Salinas Municipio, Puerto Rico",3042,428,29722
51570,"Colonial Heights city, Virginia",3039,2334,17554
42097,"Northumberland County, Pennsylvania",3033,204,93590
13067,"Cobb County, Georgia",3028,2144,728388
13063,"Clayton County, Georgia",3016,1908,270269
53077,"Yakima County, Washington",3012,58,247681
36083,"Rensselaer County, New York",3010,245,159959
42017,"Bucks County, Pennsylvania",3009,1036,626220
17201,"Winnebago County, Illinois",3006,563,288896
18163,"Vanderburgh County, Indiana",3002,778,181692
